Location,Area_sqft,BHK,Price_Lakhs
Rohini Sector 25,800.0,3,65.0
"J R Designers Floors, Rohini Sector 24",750.0,2,50.0
"Citizen Apartment, Rohini Sector 13",950.0,2,155.0
Rohini Sector 24,600.0,2,42.0
"Rohini Sector 24 carpet area 650 sqft status Ready to Move floor 4 out of 4 floors transaction New Property furnishing Semi-Furnished facing East overlooking Garden/Park, Main Road car parking 1 Open bathroom 2 balcony 1 ownership Freehold Newly Constructed Property Newly Constructed Property East Facing Property 2BHK Newly build property for Sale. A House is waiting for a Friendly Family to make it a lovely home.So please come and make his house feel alive once again. read more Contact Agent View Phone No. Share Feedback Garima properties Certified Agent Trusted by Users Genuine Listings Market Knowledge",650.0,2,62.0
Rohini Sector 24,1300.0,4,155.0
Rohini Sector 24,1350.0,4,100.0
"Delhi Homes, Rohini Sector 24",650.0,2,40.0
Rohini Sector 21,985.0,3,68.0
Rohini Sector 22,1300.0,4,150.0
Rohini Sector 20,1100.0,3,62.0
Rohini Sector 25,870.0,3,77.0
Rohini Sector 24,630.0,2,55.0
Rohini Sector 24,660.0,2,50.0
Rohini Sector 8 How Auctions work? The borrower has the physical possession of the Property. However the lender (Bank) can legally sell the Property. super area 32 sqm status Ready to Move floor 1 transaction Resale furnishing Semi-Furnished Contact Now Enquire Now Auction By,344.4448,2,33.1
"Rohini Sector 25 carpet area 660 sqft status Ready to Move floor 2 out of 4 floors transaction New Property furnishing Semi-Furnished facing North overlooking Garden/Park, Main Road car parking 1 Open bathroom 2 balcony 1 ownership Freehold Newly Constructed Property Newly Constructed Property Near by Ryan international school 2BHK Located on the Ground Floor of a four story building with open parking the flat measure 720 Sq Ft the property is located in a green and plush sector with common parks opposite every lane and bus and auto stand nearby. its situated 1.5 km from the metro station and walkable distance from shopping distance from shopping complex. read more Contact Agent View Phone No. Share Feedback Know your Certified Agent CRISIL Rating No of Employees 9 Kulwant & Company Certified Agent Trusted by Users Genuine Listings 5500+ Buyers Served",660.0,2,47.0
Rohini Sector 22,550.0,2,45.0
Rohini Sector 16,1100.0,4,170.0
Rohini Sector 14,1150.0,3,250.0
Rohini Sector 24,650.0,2,60.0
"Mayur Apartment, Rohini Sector 9",850.0,2,110.0
"Vijay Vihar, Rohini",900.0,3,45.0
"Rohini Sector 18 carpet area 40 sqm status Ready to Move floor 2 out of 4 floors transaction Resale furnishing Furnished facing East overlooking Main Road car parking 2 Open bathroom 1 balcony 1 ownership Freehold East Facing Property It an LIG three side corner flat in second floor, having full scope of expansion. interior decorated with 2 textured wall , kajaria tiles , fully modular kitchen, branded bathroom and toilet fittings, LED panel, ac in one bedroom, false ceiling in entire flat.south facing unobstructed view balcony. It was all renovated only 2.5 yrs back so every thing is in brand new condition. read more Contact Owner View Phone No. Share Feedback Owner Pramod",430.556,1,53.0
"Prashant Vihar, Rohini",900.0,2,105.0
Rohini Sector 5,914.9315,2,120.0
Rohini Sector 20,1100.0,3,70.0
Rohini Sector 25,800.0,3,70.0
"Sanskriti Apartment, Rohini Sector 28",500.0,1,34.0
Rohini Sector 25,28.0,2,50.0
Rohini Sector 19,2160.0,4,210.0
Lajpat Nagar 2,1500.0,1,135.0
Lajpat Nagar 1,800.0,2,150.0
Lajpat Nagar,900.0,2,105.0
"Vikram Vihar, Lajpat Nagar",1080.0,3,225.0
Lajpat Nagar 4,750.0,2,136.0
Lajpat Nagar 3,1450.0,3,300.0
Lajpat Nagar,900.0,2,135.0
"Dayanand Colony, Lajpat Nagar How Auctions work? The borrower has the physical possession of the Property. However the lender (Bank) can legally sell the Property. super area 810 sqft status Ready to Move floor 1 out of 5 floors transaction Resale balcony 1 Contact Now Enquire Now Auction By Bank",810.0,2,89.1
Lajpat Nagar,1350.0,3,250.0
Lajpat Nagar 2,1710.0,3,260.0
Lajpat Nagar,1650.0,3,300.0
Lajpat Nagar,1280.0,2,125.0
Lajpat Nagar 3,1260.0,3,210.0
Lajpat Nagar 4,1130.0,2,78.0
"Amar Colony, Lajpat Nagar",600.0,2,115.0
Lajpat Nagar 1,850.0,2,115.0
Lajpat Nagar 2,1500.0,3,260.0
"Amar Colony, Lajpat Nagar",900.0,2,130.0
"Vikram Vihar, Lajpat Nagar",1000.0,3,220.0
Lajpat Nagar 2,900.0,2,158.0
Lajpat Nagar 3,2925.0,4,575.0
Lajpat Nagar 1,900.0,2,100.0
Lajpat Nagar 3,1600.0,3,300.0
"Vikram Vihar, Lajpat Nagar",1143.0,3,220.0
"Vikram Vihar, Lajpat Nagar",1150.0,3,240.0
Lajpat Nagar 3,1500.0,3,315.0
Lajpat Nagar 2,850.0,2,146.0
Lajpat Nagar,8000.0,4,2400.0
Lajpat Nagar 1,890.0,2,83.0
"Vikram Vihar, Lajpat Nagar",1100.0,3,225.0
"DDA Flats Sector 14, Dwarka Sector 14",750.0,1,46.0
"Siddhartha Heights, Dwarka Sector 24",850.0,2,19.0
"MTNL Employees House Welfare Society, Dwarka Sector 24",1350.0,3,51.3
"Delhi Homes Yojana, Dwarka Sector 24",1387.0,4,58.9
"The Elite Spire, Dwarka Sector 21",1050.0,3,37.0
"Kunj Vihar Apartment, Dwarka Sector 12",1500.0,3,174.0
"Ashirwad Apartments, Dwarka Sector 12",1200.0,3,155.0
"MTNL Employees House Welfare Society, Dwarka Sector 24",700.0,2,24.0
"Sunny Valley Apartments, Dwarka",1700.0,3,172.0
"Shri Agrasen Apartment, Dwarka Sector 7",1550.0,3,142.0
"Chopra Apartment, Dwarka Sector 23",1400.0,3,135.0
"Mohinder Apartments, Dwarka Sector 12",1900.0,4,300.0
"Chander Lok Apartment, Dwarka Sector 19",2160.0,4,210.0
"Neelachal, Dwarka Sector 5",1700.0,4,205.0
Dwarka,1850.0,3,240.0
"MeeraBai Apartment, Dwarka Sector 5",1800.0,4,165.0
"Crescent Apartments, Dwarka Sector 18",1620.0,3,149.0
"Ashoka Enclave Apartment, Dwarka Sector 11",1800.0,4,192.0
"Nav Kairali Apartment, Dwarka Sector 3",1540.0,3,145.0
"Ashirwad Apartments, Dwarka",1600.0,3,156.0
"Indraprastha Apartment, Dwarka Sector 12",1400.0,3,114.0
"Mohinder Apartments, Dwarka",2300.0,4,315.0
"Ashoka Apartments, Dwarka Sector 12",1560.0,3,158.0
"Karuna Vihar Apartment, Dwarka",1500.0,3,160.0
